,GrpCode,sum,grocery_alone,CG_total,NCG_total,DS_total,StoreType,Count
1,PG5A,104,61,2.5,11.20689655,10.64356436,Chain Grocery,9
2,PG5A,104,61,2.5,11.20689655,10.64356436,Non Chain Grocery,52
3,PG5A,104,61,2.5,11.20689655,10.64356436,Dollar Store,43
4,PG5N,104,60,1.944444444,11.42241379,10.89108911,Chain Grocery,7
5,PG5N,104,60,1.944444444,11.42241379,10.89108911,Non Chain Grocery,53
6,PG5N,104,60,1.944444444,11.42241379,10.89108911,Dollar Store,44
7,PG6,83,48,0.555555556,9.913793103,8.663366337,Chain Grocery,2
8,PG6,83,48,0.555555556,9.913793103,8.663366337,Non Chain Grocery,46
9,PG6,83,48,0.555555556,9.913793103,8.663366337,Dollar Store,35
10,PG7,17,17,0,3.663793103,0,Chain Grocery,0
11,PG7,17,17,0,3.663793103,0,Non Chain Grocery,17
12,PG7,17,17,0,3.663793103,0,Dollar Store,0
13,Rest_of_the_State,9,9,0.277777778,1.724137931,0,Chain Grocery,1
14,Rest_of_the_State,9,9,0.277777778,1.724137931,0,Non Chain Grocery,8
15,Rest_of_the_State,9,9,0.277777778,1.724137931,0,Dollar Store,0
